                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.949,                 2.3645,                 1.0027,                0.37934,                0.40447,                0.30836,                0.14835,                 1.9694,                 1.9647,                 0.9509,               0.070003,              0.0033331,              0.0033331
                      1,                 1.8899,                  1.966,                0.99138,                0.40231,                0.46886,                0.35652,                  0.184,                 1.7699,                 1.7756,                 0.9253,               0.039673,              0.0063364,              0.0063364
                      2,                 1.8987,                 1.9513,                 1.0043,                0.40344,                0.47268,                 0.3563,                0.18432,                 1.7351,                 1.7607,                0.93156,              0.0090125,              0.0090097,              0.0090097
                      3,                 1.8504,                 1.8877,                0.99812,                0.41474,                0.50633,                0.38969,                 0.2058,                  1.682,                 1.6714,                0.92304,               0.008515,               0.008515,               0.008515
                      4,                 1.7597,                 1.7659,                0.97945,                0.41739,                 0.5094,                0.40724,                0.21853,                 1.6352,                 1.6363,                 0.9158,               0.008515,               0.008515,               0.008515
                      5,                 1.6888,                 1.6917,                0.96393,                0.43341,                0.53126,                0.42862,                0.23444,                 1.5732,                 1.5494,                 0.9069,                0.00802,                0.00802,                0.00802
                      6,                 1.6437,                 1.6346,                0.95474,                0.43085,                0.54763,                0.43567,                0.24202,                 1.5263,                 1.5309,                0.89641,               0.007525,               0.007525,               0.007525
                      7,                 1.6161,                 1.5977,                0.94485,                0.44887,                 0.5449,                0.44784,                0.24788,                 1.5227,                 1.5019,                0.89651,                0.00703,                0.00703,                0.00703
                      8,                  1.584,                 1.5624,                0.94294,                0.45217,                0.54171,                0.46198,                 0.2602,                 1.4943,                 1.4724,                0.89038,               0.006535,               0.006535,               0.006535
                      9,                  1.559,                 1.5347,                0.93613,                0.44911,                0.55045,                0.46565,                0.26104,                 1.4738,                 1.4597,                0.88682,                0.00604,                0.00604,                0.00604
                     10,                 1.5629,                 1.5381,                0.94133,                0.45918,                0.55097,                0.46815,                0.26338,                 1.4807,                 1.4657,                0.88938,               0.005545,               0.005545,               0.005545
                     11,                 1.5491,                 1.5201,                0.93667,                 0.4638,                 0.5487,                0.47303,                0.26655,                 1.4729,                 1.4543,                0.88952,                0.00505,                0.00505,                0.00505
                     12,                 1.5239,                 1.4872,                0.93132,                0.46081,                0.55422,                0.48103,                0.27001,                 1.4698,                 1.4452,                0.88677,               0.004555,               0.004555,               0.004555
                     13,                 1.5016,                 1.4539,                 0.9261,                0.46597,                0.55013,                0.48327,                0.27129,                 1.4657,                 1.4385,                 0.8859,                0.00406,                0.00406,                0.00406
                     14,                 1.4808,                 1.4338,                0.92287,                0.46901,                 0.5543,                 0.4891,                 0.2739,                  1.461,                 1.4244,                0.88527,               0.003565,               0.003565,               0.003565
                     15,                 1.4589,                  1.407,                0.91929,                0.46706,                0.55096,                0.49111,                0.27638,                 1.4548,                  1.416,                0.88392,                0.00307,                0.00307,                0.00307
                     16,                 1.4379,                  1.388,                0.91175,                0.47216,                0.54606,                0.49291,                0.27824,                 1.4504,                 1.4097,                0.88263,               0.002575,               0.002575,               0.002575
                     17,                   1.42,                 1.3696,                0.90925,                0.47216,                0.55078,                0.49463,                 0.2792,                  1.448,                 1.4046,                0.88184,                0.00208,                0.00208,                0.00208
                     18,                 1.4027,                 1.3427,                0.90639,                0.47409,                0.55002,                0.49704,                0.28108,                 1.4466,                 1.3996,                0.88152,               0.001585,               0.001585,               0.001585
                     19,                 1.3748,                 1.3158,                0.90147,                0.47864,                0.55256,                0.49854,                0.28178,                 1.4456,                 1.3958,                0.88129,                0.00109,                0.00109,                0.00109
