                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7426,                 1.9899,                0.94779,                0.39784,                0.47197,                0.36848,                0.19251,                 1.7224,                 1.7244,                0.90536,               0.070003,              0.0033331,              0.0033331
                      1,                 1.7372,                 1.7403,                0.95097,                0.41518,                0.52819,                0.40791,                0.22077,                 1.6128,                 1.5979,                0.90358,               0.039673,              0.0063364,              0.0063364
                      2,                 1.7881,                 1.7867,                0.96847,                0.40594,                0.51871,                0.39229,                 0.2163,                  1.633,                 1.6507,                0.91003,              0.0090125,              0.0090097,              0.0090097
                      3,                 1.7563,                 1.7589,                0.96868,                0.42785,                0.52585,                0.42271,                0.22631,                 1.5868,                 1.5742,                0.90418,               0.008515,               0.008515,               0.008515
                      4,                 1.6484,                 1.6335,                 0.9503,                0.43119,                0.54279,                0.44052,                0.24877,                 1.4977,                 1.5117,                0.89265,               0.008515,               0.008515,               0.008515
                      5,                 1.5792,                 1.5613,                0.93694,                0.44661,                0.55221,                0.46424,                0.26436,                 1.4676,                 1.4473,                0.89177,                0.00802,                0.00802,                0.00802
                      6,                 1.5306,                 1.5032,                  0.929,                0.45086,                0.55115,                0.47141,                0.26985,                 1.4292,                 1.4267,                  0.885,               0.007525,               0.007525,               0.007525
                      7,                 1.5002,                 1.4693,                0.91852,                0.47614,                0.54787,                0.48867,                0.28344,                 1.4115,                 1.3976,                0.87768,                0.00703,                0.00703,                0.00703
                      8,                 1.4694,                 1.4336,                0.91774,                0.45809,                0.57126,                0.49994,                0.29084,                 1.3949,                 1.3768,                0.87895,               0.006535,               0.006535,               0.006535
                      9,                 1.4393,                 1.4064,                0.90979,                0.46443,                0.55533,                0.49768,                 0.2929,                 1.3768,                  1.357,                0.87627,                0.00604,                0.00604,                0.00604
                     10,                 1.4501,                  1.418,                0.91551,                0.47646,                0.54677,                0.50294,                0.29576,                 1.3871,                 1.3689,                0.87755,               0.005545,               0.005545,               0.005545
                     11,                 1.4377,                 1.3991,                0.91046,                 0.4873,                0.54344,                0.51266,                0.30009,                 1.3869,                 1.3593,                0.87838,                0.00505,                0.00505,                0.00505
                     12,                  1.411,                 1.3675,                0.90582,                0.49116,                0.55051,                0.52156,                0.30592,                 1.3821,                 1.3465,                0.87854,               0.004555,               0.004555,               0.004555
                     13,                 1.3943,                 1.3432,                0.90109,                0.49123,                0.55517,                 0.5256,                0.30901,                 1.3724,                  1.337,                0.87724,                0.00406,                0.00406,                0.00406
                     14,                 1.3691,                 1.3166,                0.89717,                0.49859,                0.55517,                0.52894,                0.31235,                 1.3615,                 1.3249,                 0.8753,               0.003565,               0.003565,               0.003565
                     15,                 1.3491,                 1.2916,                0.89509,                0.49874,                 0.5517,                0.53092,                0.31515,                 1.3555,                 1.3179,                0.87402,                0.00307,                0.00307,                0.00307
                     16,                 1.3296,                 1.2747,                0.88757,                0.49753,                0.55758,                0.53097,                 0.3162,                 1.3506,                 1.3131,                0.87294,               0.002575,               0.002575,               0.002575
                     17,                 1.3049,                 1.2513,                0.88408,                0.49727,                0.55891,                0.53145,                0.31783,                 1.3472,                 1.3103,                0.87275,                0.00208,                0.00208,                0.00208
                     18,                 1.2868,                 1.2303,                0.88159,                0.49957,                0.55533,                0.53299,                0.31867,                 1.3448,                 1.3064,                0.87226,               0.001585,               0.001585,               0.001585
                     19,                 1.2632,                 1.2071,                0.87777,                0.49983,                0.55575,                0.53479,                0.31962,                 1.3422,                 1.3039,                0.87169,                0.00109,                0.00109,                0.00109
